Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Sweden,Included / International,Price / International,Compare At Price / International,Status
9637-6,Stängseltestare Digital - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,895.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
1013-2,"Servicesats TF 350, 4000t - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,195.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9633-3,Solaraggregat Sun Power S 1000 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,2.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
1503,Servicesats pass. 180ccm - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,85.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9637-7,Digitalt Duo Voltmeter - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,395.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
1001,Spenkoppscentral till Harmony - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,1.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
1002,Överdel till Harmony TF 350 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,365.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9633-8,"Batteri Alkaline 9V, 170 Ah - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,395.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
3003,Krokanslutning Harmony - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,165.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8732-5,Lie hed - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,345.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8732-2,Lie Wettschliff 65 cm - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,265.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9630-1,Zone GuardBatteriaggregat 40 km - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,1.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8419-5,Träskaft Furu 28cm x 2 m - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,65.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
1013-3,"Servicesats TF 360, 2000t - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,115.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9630-2,ZoneGuard Elaggregat 40 km - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,1.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8733-4,Slipstenbehållare i plast - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,75.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
1502,Spenkopp till 180ccm - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,128.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9631-1,Elaggregat Power Profi NDi 15000 digital - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,5.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
1004,Underdel Harmony - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,598.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8733-1,Slipsten Standard - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,49.50,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8732-7,Lieskaft metall - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,195.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9634-3,Åskskydd AKO - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,155.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9635-1,Solpanel 10W med 2 A regulator - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,995.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8732-1,Lie Wettschliff 65 cm komplett - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,395.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9635-2,Solpanel 20 W med 2 Amp regulator - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,1.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9633-5,Solaraggregat Sun Power S 250 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,1.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8421-4,Grep 4-kloig nygammal S804 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,765.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9635-3,Solpanel 30W med 10 A regulator - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,2.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9633-2,Solaraggregat Sun Power S1500 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,3.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9632-6,Kombiaggregat  Duo Power X 4000 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,1.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
9633-4,Solaraggregat Sun Power S 500 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,2.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8732-4,Lie Echter Hahnkopf 70 cm - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,655.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
5610-6,Reparator Gardena 3/4 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,85.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8419-4,"Träskaft Furu 28x 1,8m - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,55.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
5609-7,Snabbkontakt Gardena 3/4 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,95.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8732-6,Lieskaft i trä - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,195.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8732-3,Lie Profi 65 cm - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,395.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8419-6,"Träskaft Furu 30 cmx 1,8m - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,65.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8733-7,Städ för lieblad - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,225.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
5609,Skruvkontakt Gardena 1/2 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,48.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8493-3,Saxolja Heininger 100ml - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,52.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8733-5,Hylsa med nyckel - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,55.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
5609-9,Snabbkontakt Gardena 3/4 premium - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,125.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8845-2,Tricoflex Vattenslang 3/4 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,895.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8733-6,Trähandtag för metallskaft - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,55.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
5609-3,Skruvkontakt Gardena 1/2 premium - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,82.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
5609-1,Skruvkontakt Gardena 3/4 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,48.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8845,Tricoflex Vattenslang 1/2 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,535.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
5609-4,Skruvkontakt Gardena 3/4 premium - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,92.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8733-3,Slipsten Original SILICAR - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,115.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
5610-1,Stoppkontakt Gardena 3/4 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,88.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
8733-2,Slipsten Batavia - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,85.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7501-2,Mjölkfilter/ mastitindikator 14mm - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,185.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
3712-4,"Trippelslang VMS silikon transparent 1,7m - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,215.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
1129-3,Kabel EP2090 - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,195.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
3712,Trippelslang gummi 4-p pass. Delaval VMS - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,695.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
3723,Skarvstycke passivt luftinsläpp - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,190.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7501-5,"Mjölkfilter 310x56, 250st. - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,195.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7520-4,"Tömningspropp 70 mm, förstärkt, 10-p - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,125.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
3719,Kameratvättsvamp Delaval VMS - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,245.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
3722,Kamerahuv Delaval VMS - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,555.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7520-1,"Tömningspropp 60mm, 10-p - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,85.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
